0,Employee_ID,Full_Name,Department,Job_Title,Hire_Date,Location,Performance_Rating,Experience_Years,Status,Work_Mode,Salary
1055,EMP0001056,David James,IT,Software Engineer,2025-07-26,"New Gregoryburgh, Poland",2,0,Active,On-site,1792476
1056,EMP0001057,Brandon Adams,IT,IT Manager,2017-05-14,"Lake Kathleenfort, Anguilla",2,8,Active,On-site,1959891
1057,EMP0001058,William Williamson,IT,Data Analyst,2017-03-28,"Robertville, Suriname",2,8,Retired,On-site,411053
1058,EMP0001059,Isaac Martinez,IT,Software Engineer,2021-10-30,"Andersonshire, Eritrea",3,3,Active,On-site,1281843
1059,EMP0001060,Meghan Jenkins,IT,Data Analyst,2016-02-23,"Port Danielmouth, Korea",4,9,Active,Remote,657830
1060,EMP0001061,Alexis Rodriguez,IT,Software Engineer,2018-11-21,"Martinezmouth, Faroe Islands",5,6,Active,On-site,1736440
1061,EMP0001062,Melvin Brandt,Finance,Finance Manager,2024-03-01,"Torresmouth, Dominican Republic",3,1,Active,On-site,2224500
1062,EMP0001063,Dr. Ashley Alexander,Marketing,Marketing Executive,2024-10-26,"South Spencer, Rwanda",3,0,Active,On-site,412630
1063,EMP0001064,Amy Cook,Marketing,Content Strategist,2022-05-07,"Travisside, Mongolia",2,3,Resigned,On-site,1007469
1064,EMP0001065,Andrea Riddle,Marketing,Marketing Executive,2025-05-22,"North Lindamouth, Vietnam",1,0,Retired,On-site,1011043
1065,EMP0001066,Bonnie Small,Marketing,Marketing Executive,2017-02-27,"Ashleystad, Pitcairn Islands",2,8,Active,On-site,765385
1066,EMP0001067,Angela Dougherty,IT,Data Analyst,2022-01-14,"Port Rhonda, Suriname",3,3,Active,On-site,435081
1067,EMP0001068,Gabriella Ayala,IT,DevOps Engineer,2022-12-01,"West Stephenville, Qatar",5,2,Terminated,Remote,1128254
1068,EMP0001069,Michael Miller,Sales,Account Manager,2020-11-23,"West Tamaramouth, Tokelau",1,4,Active,Remote,529942
1069,EMP0001070,Samantha Farmer,Sales,Sales Executive,2017-09-10,"Troyland, Wallis and Futuna",4,7,Resigned,Remote,692632
1070,EMP0001071,Gary May,Operations,Supply Chain Manager,2012-10-02,"New Ashley, Chile",5,12,Active,On-site,954760
1071,EMP0001072,Michael Curry,Operations,Operations Executive,2012-02-03,"Seanview, Moldova",2,13,Resigned,On-site,972918
1072,EMP0001073,Karen Hicks,HR,Talent Acquisition Specialist,2022-10-14,"North Brittanyhaven, Peru",2,2,Resigned,Remote,973839
1073,EMP0001074,Christopher Delacruz,Sales,Business Development Manager,2017-09-15,"West Jonathan, Azerbaijan",3,7,Resigned,On-site,1117648
1074,EMP0001075,Kimberly White,IT,Data Analyst,2025-06-02,"Joanstad, Comoros",1,0,Active,On-site,1017478
1075,EMP0001076,John Roberts,Operations,Operations Executive,2021-10-22,"Lake Sarahland, Antigua and Barbuda",1,3,Resigned,On-site,1078563
1076,EMP0001077,Catherine Bond,Marketing,Content Strategist,2020-02-06,"Port Brandon, British Virgin Islands",3,5,Active,Remote,1113054
1077,EMP0001078,William Lee,Operations,Logistics Coordinator,2018-05-27,"South Debra, Holy See (Vatican City State)",2,7,Resigned,On-site,841900
1078,EMP0001079,Robyn Johnson,HR,HR Manager,2018-07-21,"New Christineside, Georgia",2,7,Active,On-site,1440271
1079,EMP0001080,Ryan Hogan,Operations,Operations Executive,2021-02-10,"West Cynthiamouth, Ecuador",1,4,Active,On-site,754836
1080,EMP0001081,Antonio Cox,Marketing,Marketing Executive,2020-08-31,"Velezshire, United Kingdom",2,4,Resigned,Remote,966069
1081,EMP0001082,Stephen Parrish,Sales,Sales Executive,2024-09-29,"Madisonfort, Greece",4,0,Resigned,On-site,403664
1082,EMP0001083,Tina Watts,Sales,Sales Director,2021-07-02,"Stonebury, Marshall Islands",5,4,Active,On-site,810229
1083,EMP0001084,Christopher Maynard,Marketing,SEO Specialist,2018-10-17,"Angelashire, Sao Tome and Principe",1,6,Active,Remote,909124
1084,EMP0001085,Chelsea Beltran,Marketing,Marketing Executive,2021-01-19,"Cummingsborough, Turkey",4,4,Resigned,Remote,817384
1085,EMP0001086,Victoria Smith,Sales,Account Manager,2024-07-04,"Changborough, Kuwait",3,1,Active,On-site,968549
1086,EMP0001087,Tiffany Stephenson,HR,Talent Acquisition Specialist,2017-06-21,"Ewingville, Saint Pierre and Miquelon",2,8,Active,Remote,911426
1087,EMP0001088,Charles Davenport,IT,Software Engineer,2022-07-01,"New Marytown, Morocco",1,3,Resigned,On-site,785319
1088,EMP0001089,Cameron Cooper,Operations,Operations Executive,2025-03-22,"North Darrylshire, Netherlands",5,0,Active,On-site,937298
1089,EMP0001090,Mackenzie Flynn,IT,Software Engineer,2019-08-26,"New Michaelton, Peru",1,5,Active,Remote,1371722
1090,EMP0001091,Michael Allen,HR,HR Manager,2022-10-30,"Kyleburgh, Mexico",4,2,Active,Remote,1430046
1091,EMP0001092,Haley Fry,Sales,Account Manager,2024-12-10,"East Seanland, Samoa",3,0,Active,On-site,731512
1092,EMP0001093,David Farmer,Finance,Financial Analyst,2020-03-10,"West Carolyn, Cameroon",1,5,Active,On-site,1085275
1093,EMP0001094,Zoe Brown,R&D,Product Developer,2024-09-06,"North Edward, Martinique",4,0,Active,On-site,458685
1094,EMP0001095,Kyle Colon,IT,Software Engineer,2011-11-28,"Elizabethshire, Liberia",4,13,Resigned,Remote,1471603
1095,EMP0001096,Brittany Roberts,Operations,Operations Executive,2023-03-01,"East Zachary, Benin",4,2,Active,On-site,919970
1096,EMP0001097,Craig Schmidt,Marketing,Marketing Executive,2024-07-21,"Lake Juliestad, Armenia",5,1,Resigned,Remote,737337
1097,EMP0001098,Bianca Jones MD,IT,Software Engineer,2022-08-28,"North Edward, Northern Mariana Islands",3,2,Active,On-site,1614304
1098,EMP0001099,Daniel Lawrence,IT,Software Engineer,2022-10-21,"Mahoneyside, China",1,2,Active,Remote,1373158
1099,EMP0001100,Latasha Lee,HR,HR Executive,2016-01-21,"West Elizabeth, Cayman Islands",5,9,Active,On-site,390095
1100,EMP0001101,Christopher Mays,Finance,Financial Analyst,2019-10-30,"Christopherfort, Germany",1,5,Resigned,Remote,1142630
1101,EMP0001102,Victoria Torres,Sales,Sales Executive,2014-10-26,"East Robertport, Uganda",1,10,Active,Remote,706389
1102,EMP0001103,Jeremy Huber,IT,Software Engineer,2016-07-11,"New Lucas, Saint Pierre and Miquelon",4,9,Retired,Remote,1033709
1103,EMP0001104,Jennifer Logan,HR,HR Executive,2016-02-10,"East Alyssabury, Djibouti",2,9,Resigned,On-site,449169
1104,EMP0001105,Erica Green,Marketing,Marketing Executive,2023-05-26,"Lake Mercedeshaven, Cyprus",5,2,Active,On-site,889328
1105,EMP0001106,Colleen Greene,IT,Software Engineer,2022-10-21,"Sheafort, Iran",5,2,Active,On-site,1213317
1106,EMP0001107,Robert Garcia,IT,Software Engineer,2025-06-23,"East Johnnyburgh, Andorra",1,0,Active,On-site,1324088
1107,EMP0001108,Brooke Barnes,Marketing,Marketing Executive,2024-02-20,"West Ashley, Saint Lucia",5,1,Retired,On-site,912047
1108,EMP0001109,Douglas Brown,Marketing,Marketing Executive,2020-09-20,"East Christopherbury, Honduras",5,4,Active,On-site,809627
1109,EMP0001110,Antonio Cox,Marketing,Marketing Executive,2024-03-18,"Lake Robin, Peru",3,1,Resigned,Remote,882779
1110,EMP0001111,Chad Clements,Sales,Sales Executive,2016-10-20,"Bowersshire, Guernsey",4,8,Active,On-site,824321
1111,EMP0001112,Christopher Butler,R&D,Research Scientist,2024-01-11,"Moranland, Jersey",1,1,Resigned,Remote,819321
1112,EMP0001113,Timothy Nguyen,IT,Data Analyst,2024-12-17,"Shannonberg, Sri Lanka",2,0,Resigned,Remote,944674
1113,EMP0001114,Mark Davies,HR,HR Manager,2024-04-17,"Jonestown, Bouvet Island (Bouvetoya)",3,1,Active,Remote,1177813
1114,EMP0001115,Nicole Anderson,Sales,Sales Executive,2017-09-06,"New Sara, Kiribati",2,7,Terminated,On-site,634076
1115,EMP0001116,Alvin Garner,R&D,Product Developer,2010-10-07,"Melissaborough, Burkina Faso",5,14,Resigned,On-site,655686
1116,EMP0001117,Stephen Thornton,Finance,Financial Analyst,2022-02-20,"East James, Thailand",3,3,Active,On-site,1268128
1117,EMP0001118,Meghan Cunningham,Operations,Logistics Coordinator,2024-11-26,"Steventon, Libyan Arab Jamahiriya",2,0,Active,On-site,767078
1118,EMP0001119,Erik George,IT,Software Engineer,2025-02-16,"Port Stephaniemouth, Austria",4,0,Active,On-site,1658864
1119,EMP0001120,Maria Roberts,Sales,Sales Executive,2023-11-16,"Fernandezbury, Switzerland",2,1,Active,On-site,877682
1120,EMP0001121,Miguel Scott,Sales,Sales Executive,2014-01-22,"Lake Eric, Micronesia",1,11,Active,On-site,574425
1121,EMP0001122,Jennifer Price,Operations,Operations Director,2025-04-16,"New Andrew, Zimbabwe",2,0,Resigned,On-site,989325
1122,EMP0001123,Tiffany Cooper,IT,Software Engineer,2016-09-12,"East Sarah, Togo",1,8,Active,On-site,742615
1123,EMP0001124,Robert Edwards,HR,HR Manager,2024-10-26,"New Emmastad, Mexico",2,0,Resigned,On-site,1781911
1124,EMP0001125,Jacob Villanueva,HR,HR Executive,2018-06-21,"Harrismouth, Bahamas",1,7,Retired,On-site,795221
1125,EMP0001126,Bethany Bradford,Finance,Accountant,2016-06-20,"South Christopherhaven, Ukraine",4,9,Resigned,On-site,416923
1126,EMP0001127,Cindy Hanson,Operations,Operations Executive,2011-06-18,"New Rhonda, Mongolia",4,14,Resigned,On-site,1149977
1127,EMP0001128,Brandy Hughes,HR,HR Manager,2020-11-30,"Lake Sheilaberg, Bangladesh",1,4,Active,On-site,1188829
1128,EMP0001129,Adrian Thomas,IT,Software Engineer,2021-02-05,"Collinmouth, Austria",2,4,Active,On-site,1701659
1129,EMP0001130,Timothy Banks,Finance,Financial Analyst,2020-01-19,"Lake Johnfort, Brunei Darussalam",2,5,Active,Remote,1336476
1130,EMP0001131,John Combs,HR,HR Executive,2020-01-24,"South Melanie, Cook Islands",4,5,Resigned,On-site,308003
1131,EMP0001132,Gary Johnson,Finance,Accountant,2018-04-09,"Jarvisshire, Mali",2,7,Active,On-site,615786
1132,EMP0001133,Mark Mcdaniel,IT,DevOps Engineer,2016-11-16,"Port John, Bahrain",5,8,Active,Remote,903960
1133,EMP0001134,Michael Smith,Operations,Logistics Coordinator,2021-06-04,"South Natalieview, Svalbard & Jan Mayen Islands",1,4,Resigned,Remote,896624
1134,EMP0001135,Katie Roberts,Marketing,SEO Specialist,2025-05-16,"North Theresa, Qatar",2,0,Terminated,Remote,741011
1135,EMP0001136,Sean Trevino,IT,Software Engineer,2019-06-14,"Stephanieberg, Argentina",1,6,Resigned,Remote,1582092
1136,EMP0001137,John Murphy,Operations,Logistics Coordinator,2020-08-27,"Colebury, Ecuador",1,4,Active,On-site,788711
1137,EMP0001138,Kevin Lang,Sales,Account Manager,2013-04-14,"Paynechester, United States of America",4,12,Active,Remote,746467
1138,EMP0001139,Brandon Mccormick,Sales,Sales Executive,2014-11-22,"Samuelborough, Georgia",1,10,Resigned,On-site,768772
1139,EMP0001140,Francisco Suarez,Marketing,Marketing Executive,2022-06-24,"West Melissa, Netherlands",5,3,Active,Remote,850499
1140,EMP0001141,Heidi Martinez,Operations,Operations Executive,2015-08-15,"Donnabury, Saint Barthelemy",5,10,Active,On-site,774579
1141,EMP0001142,Jennifer Davis,Finance,Accountant,2020-12-26,"Lake Glenmouth, Somalia",2,4,Active,On-site,736307
1142,EMP0001143,Kevin White,Operations,Operations Executive,2018-04-24,"Butlertown, Indonesia",4,7,Active,Remote,747250
1143,EMP0001144,Eric Moore,Finance,Accountant,2019-02-24,"New Michaelside, Mali",4,6,Resigned,Remote,543874
1144,EMP0001145,Brandi Olson,IT,Software Engineer,2022-10-31,"West Sierra, Romania",3,2,Active,On-site,605527
1145,EMP0001146,Christine Curtis,Sales,Sales Executive,2011-07-27,"New Jenniferborough, Guatemala",2,14,Terminated,Remote,788888
1146,EMP0001147,David Hardin,IT,Software Engineer,2022-04-25,"Stevefurt, Saint Helena",2,3,Active,Remote,1118428
1147,EMP0001148,Theresa Howard,HR,Talent Acquisition Specialist,2017-01-25,"Crawfordchester, Egypt",2,8,Resigned,Remote,737999
1148,EMP0001149,Steven Powell,HR,HR Manager,2020-03-06,"Felicialand, Ireland",2,5,Active,On-site,781074
1149,EMP0001150,Kristin Valdez,Operations,Operations Executive,2024-11-22,"Port Cathyborough, Turks and Caicos Islands",3,0,Active,Remote,1010597
1150,EMP0001151,Jennifer Newton,Sales,Account Manager,2011-06-13,"New Maryborough, Cocos (Keeling) Islands",3,14,Active,On-site,985146
1151,EMP0001152,Emily Thomas,Finance,Accountant,2016-03-26,"East Deniseside, American Samoa",3,9,Active,Remote,864540
1152,EMP0001153,Rachel Mccarthy,Sales,Account Manager,2023-11-02,"Smithton, Malta",3,1,Active,On-site,492918
1153,EMP0001154,Valerie Wilson,Sales,Sales Executive,2014-08-20,"East Michelle, Trinidad and Tobago",2,10,Active,Remote,632951
1154,EMP0001155,Johnny Goodwin,HR,HR Executive,2015-07-15,"Williamston, China",4,10,Retired,Remote,580087
1155,EMP0001156,Timothy Curtis,Sales,Sales Executive,2015-08-30,"Lake Kellyside, Bermuda",2,9,Active,On-site,538904
1156,EMP0001157,Lisa Martinez,Marketing,SEO Specialist,2017-06-08,"East Michael, French Polynesia",5,8,Resigned,On-site,825282
1157,EMP0001158,Victoria Bennett,HR,HR Director,2021-12-29,"West Patriciahaven, Turkey",1,3,Active,On-site,953959
1158,EMP0001159,Amy Meyers,Sales,Business Development Manager,2024-11-26,"West Thomasberg, South Africa",4,0,Active,On-site,1193541
1159,EMP0001160,Jessica Stevenson,IT,IT Manager,2024-08-20,"West Stephen, Burundi",1,0,Active,On-site,1485629
1160,EMP0001161,Abigail Mendoza,IT,DevOps Engineer,2015-11-17,"Wilsonland, Pakistan",1,9,Active,On-site,1048208
1161,EMP0001162,Amanda Shaw,Finance,Accountant,2018-01-07,"Pennyhaven, Solomon Islands",5,7,Active,On-site,888535
1162,EMP0001163,Catherine Morton,IT,Software Engineer,2018-04-09,"South Justinburgh, Netherlands",5,7,Active,On-site,1113200
1163,EMP0001164,Tonya Miller,IT,Software Engineer,2016-03-19,"South Catherine, United States Minor Outlying Islands",4,9,Active,On-site,1068222
1164,EMP0001165,Steven Hill,Sales,Sales Executive,2022-10-21,"Susanton, Namibia",3,2,Retired,Remote,516050
1165,EMP0001166,Destiny Campbell,Marketing,Content Strategist,2012-11-24,"Sharpside, Honduras",2,12,Resigned,On-site,870025
1166,EMP0001167,Heather Smith,Operations,Operations Executive,2020-08-16,"East Johnnymouth, Slovenia",5,4,Terminated,On-site,1066424
1167,EMP0001168,Ruth Lewis DDS,Marketing,Brand Manager,2020-08-26,"North Jaredfurt, Anguilla",5,4,Active,On-site,1128595
1168,EMP0001169,Dr. Jonathan Bennett,IT,DevOps Engineer,2024-06-01,"Jonathanland, Sudan",3,1,Active,On-site,1181979
1169,EMP0001170,Rita Harris,Finance,Financial Analyst,2022-12-24,"South Amandaside, Mayotte",1,2,Active,Remote,858430
1170,EMP0001171,Victoria Munoz,Finance,Accountant,2022-05-09,"New Michelle, South Africa",5,3,Resigned,On-site,447210
1171,EMP0001172,James Mclaughlin,Marketing,Marketing Executive,2021-10-25,"Cunninghamborough, Saint Lucia",5,3,Active,Remote,478255
1172,EMP0001173,Robert Johnston,IT,Software Engineer,2021-10-07,"Marissaberg, British Indian Ocean Territory (Chagos Archipelago)",3,3,Terminated,On-site,1534062
1173,EMP0001174,Crystal Hernandez,Operations,Operations Executive,2017-11-25,"East Amberport, Guam",2,7,Active,On-site,1147601
1174,EMP0001175,Bradley Jones,Operations,Logistics Coordinator,2017-11-25,"North Dawnside, Serbia",1,7,Active,On-site,585045
1175,EMP0001176,Antonio Harris,Marketing,SEO Specialist,2014-08-25,"Medinabury, Nepal",1,10,Active,On-site,431829
1176,EMP0001177,Daniel Thomas,HR,HR Executive,2025-07-22,"Barbaraland, Lao People's Democratic Republic",5,0,Active,Remote,554766
1177,EMP0001178,Corey Dunn,Marketing,SEO Specialist,2024-11-15,"West Claire, Germany",1,0,Active,On-site,407602
1178,EMP0001179,Lisa Garrett,HR,HR Executive,2025-01-19,"Amandaton, Faroe Islands",4,0,Retired,Remote,374395
1179,EMP0001180,Karen Green,Sales,Account Manager,2024-01-27,"North James, Libyan Arab Jamahiriya",5,1,Active,On-site,1090110
1180,EMP0001181,Jeffrey Harris,HR,Talent Acquisition Specialist,2024-09-23,"Port Victoriaburgh, Gibraltar",3,0,Active,On-site,426683
1181,EMP0001182,Christopher Lewis,Marketing,SEO Specialist,2025-06-18,"East Christopherview, Solomon Islands",1,0,Active,Remote,749267
1182,EMP0001183,Sheri Wilson,Sales,Sales Executive,2016-12-16,"Jasonstad, Sao Tome and Principe",2,8,Active,Remote,567067
1183,EMP0001184,Micheal Wilson,IT,Software Engineer,2019-09-17,"West Veronica, Saint Martin",4,5,Resigned,On-site,1766958
1184,EMP0001185,Thomas Jones,Operations,Logistics Coordinator,2011-02-12,"Perezside, Nauru",4,14,Active,On-site,561358
1185,EMP0001186,Keith Jackson,Marketing,Marketing Executive,2021-11-20,"North Robertstad, Cook Islands",4,3,Active,Remote,506242
1186,EMP0001187,Scott Brown,IT,Data Analyst,2011-04-04,"North Brandiborough, Jordan",4,14,Active,On-site,1007419
1187,EMP0001188,Amber Chandler,Operations,Logistics Coordinator,2012-10-18,"Jasonville, El Salvador",3,12,Resigned,On-site,821527
1188,EMP0001189,Julia Lee,Sales,Sales Executive,2015-02-08,"North Lynn, Madagascar",1,10,Resigned,On-site,868623
1189,EMP0001190,Martin Sandoval,IT,Software Engineer,2012-11-04,"Port Renee, Lesotho",3,12,Active,On-site,1578808
1190,EMP0001191,Jill Rodriguez,IT,CTO,2016-09-15,"Lake Walterstad, Italy",3,8,Active,On-site,495908
1191,EMP0001192,Wendy Bauer,Marketing,Marketing Executive,2017-11-30,"Lutzchester, Trinidad and Tobago",5,7,Active,On-site,921644
1192,EMP0001193,Mia Fisher,Sales,Sales Executive,2017-02-07,"East Davidland, Netherlands",1,8,Active,Remote,518317
1193,EMP0001194,Danny Johnson,Operations,Operations Executive,2023-11-11,"South Timothy, Ukraine",2,1,Active,On-site,553422
1194,EMP0001195,Mrs. Elizabeth Snyder,Marketing,Marketing Executive,2022-12-16,"West Martinstad, Guyana",4,2,Resigned,Remote,576349
1195,EMP0001196,David Eaton,R&D,Research Scientist,2018-01-25,"North Christopher, Jersey",2,7,Active,On-site,683006
1196,EMP0001197,Kristin Parrish,Finance,Accountant,2019-12-20,"New Emily, French Southern Territories",5,5,Active,On-site,712174
1197,EMP0001198,Mary Rodriguez,Sales,Business Development Manager,2023-03-20,"West Amandaville, Dominica",2,2,Active,Remote,1221464
1198,EMP0001199,Adam Sims,Sales,Account Manager,2021-05-15,"Martinezport, Malta",3,4,Resigned,On-site,703845
1199,EMP0001200,Kelly Walker,IT,CTO,2016-10-29,"Perezville, Bulgaria",1,8,Active,On-site,930497
1200,EMP0001201,Emily Hernandez,Marketing,Content Strategist,2023-10-05,"Port Williammouth, Papua New Guinea",2,1,Active,On-site,895346
1201,EMP0001202,Robert Smith,Marketing,SEO Specialist,2024-11-23,"North Rachelview, Bermuda",2,0,Active,On-site,669327
1202,EMP0001203,Erica Fisher,Marketing,Content Strategist,2024-10-20,"New Linda, Myanmar",5,0,Active,Remote,568435
1203,EMP0001204,Mrs. Lisa Rose DVM,Finance,Accountant,2016-03-20,"Port Christineberg, Syrian Arab Republic",5,9,Resigned,Remote,876650
1204,EMP0001205,Elizabeth Hansen,Marketing,Marketing Executive,2022-04-20,"Port Pamela, Brunei Darussalam",2,3,Active,On-site,424744
1205,EMP0001206,Denise Jones,Sales,Account Manager,2024-10-21,"Tylerside, Korea",5,0,Active,On-site,600119
1206,EMP0001207,William Bennett,IT,Software Engineer,2022-03-17,"Port Patricia, Yemen",1,3,Terminated,Remote,717579
1207,EMP0001208,Melanie Velasquez,Marketing,SEO Specialist,2024-09-29,"East Stevenhaven, United States of America",2,0,Active,On-site,615836
1208,EMP0001209,Rebekah Martin,Sales,Account Manager,2023-11-02,"Lake Kimberlyville, Colombia",5,1,Active,Remote,1181247
1209,EMP0001210,Shannon Rios,Marketing,Marketing Executive,2021-03-08,"West Brendaton, South Georgia and the South Sandwich Islands",4,4,Resigned,On-site,497121
1210,EMP0001211,Sandra Wu,Operations,Logistics Coordinator,2022-09-17,"Morganview, Hungary",2,2,Resigned,Remote,693486
1211,EMP0001212,Julia Sanchez,Operations,Operations Executive,2024-01-22,"Smithfort, American Samoa",2,1,Resigned,On-site,1078392
1212,EMP0001213,Rhonda Miller,Sales,Account Manager,2019-04-19,"New Jamesmouth, Mauritius",4,6,Active,Remote,560677
1213,EMP0001214,Holly Carter,Marketing,Marketing Executive,2024-04-19,"Deniseview, Timor-Leste",4,1,Active,On-site,1043212
1214,EMP0001215,Amy Smith,Sales,Sales Executive,2016-04-24,"East Tonymouth, India",3,9,Active,On-site,737963
1215,EMP0001216,Cheyenne Lewis,IT,Software Engineer,2017-10-18,"Gloriaburgh, Gibraltar",3,7,Resigned,Remote,699887
1216,EMP0001217,David Jones,IT,DevOps Engineer,2015-11-15,"New Normamouth, Tuvalu",2,9,Active,Remote,565385
1217,EMP0001218,Amy Hernandez,Operations,Operations Executive,2017-09-03,"New Vicki, Cocos (Keeling) Islands",3,7,Active,Remote,482919
1218,EMP0001219,Craig Smith,Finance,Finance Manager,2021-12-06,"Odomport, Croatia",4,3,Active,On-site,1510570
1219,EMP0001220,Laura Lopez,IT,Software Engineer,2020-04-09,"Lindsayside, Norway",1,5,Active,On-site,1545701
1220,EMP0001221,Timothy Morrow,R&D,Lab Technician,2024-01-30,"East Matthewstad, Argentina",1,1,Active,On-site,681452
1221,EMP0001222,Elijah Perez,IT,Software Engineer,2020-12-18,"Terrelltown, Tunisia",1,4,Active,On-site,685389
1222,EMP0001223,Elizabeth Porter,IT,IT Manager,2020-11-16,"North Kimberly, Russian Federation",4,4,Active,Remote,2969027
1223,EMP0001224,Michael Marquez,Operations,Supply Chain Manager,2024-05-30,"Port Tonyaview, Kazakhstan",3,1,Active,Remote,822521
1224,EMP0001225,Sheena Smith,Marketing,Content Strategist,2017-05-19,"New Melaniechester, Aruba",4,8,Active,On-site,461782
1225,EMP0001226,Virginia Delacruz,IT,Software Engineer,2015-10-25,"West Robert, Argentina",1,9,Active,On-site,1598562
1226,EMP0001227,Rachel Anderson,IT,DevOps Engineer,2023-09-30,"Jamesberg, France",2,1,Active,On-site,414327
1227,EMP0001228,Dorothy Murray,IT,Data Analyst,2024-10-26,"South Ryanville, Nigeria",2,0,Terminated,On-site,1075621
1228,EMP0001229,Angelica Aguirre,R&D,Research Scientist,2021-12-05,"Katrinaland, Bermuda",3,3,Resigned,On-site,493912
1229,EMP0001230,Daniel Raymond,Sales,Sales Executive,2024-07-07,"East Maryburgh, Botswana",2,1,Resigned,On-site,853323
1230,EMP0001231,Rodney Boyd,Sales,Sales Executive,2025-07-08,"North Amyfort, Liberia",5,0,Resigned,On-site,772723
1231,EMP0001232,Jennifer Spears,Finance,Financial Analyst,2018-05-22,"West Sonyamouth, Solomon Islands",2,7,Active,Remote,1253613
1232,EMP0001233,Steven Ellis,Marketing,Marketing Executive,2018-06-02,"East Richard, Myanmar",1,7,Active,On-site,608483
1233,EMP0001234,Deborah Flores,IT,IT Manager,2019-08-12,"Parsonsshire, Singapore",3,6,Active,Remote,2513279
1234,EMP0001235,Sharon Yang,Sales,Account Manager,2024-05-21,"Heatherville, Aruba",3,1,Retired,Remote,1048607
1235,EMP0001236,Stephanie Hopkins,Finance,Finance Manager,2016-01-07,"Langhaven, Libyan Arab Jamahiriya",2,9,Active,Remote,1424340
1236,EMP0001237,Sean Solis,IT,Software Engineer,2021-03-01,"Lloydside, Sri Lanka",1,4,Active,Remote,997471
1237,EMP0001238,Christopher Byrd,Operations,Operations Executive,2018-06-15,"Clayhaven, Yemen",3,7,Active,On-site,594623
1238,EMP0001239,Rhonda Perez,Sales,Sales Executive,2017-04-24,"South Glennshire, Bahrain",5,8,Resigned,Remote,762243
1239,EMP0001240,Andrew Wilkins,Marketing,SEO Specialist,2019-04-03,"Port Sarachester, Cook Islands",3,6,Active,On-site,587277
1240,EMP0001241,Mark Baker,Sales,Sales Executive,2013-10-08,"Karenside, Cameroon",2,11,Active,On-site,425286
1241,EMP0001242,Diana Lamb,IT,DevOps Engineer,2015-01-15,"New Sara, Bangladesh",2,10,Resigned,On-site,731116
1242,EMP0001243,Chelsea White,Finance,Finance Manager,2018-12-07,"North Ashley, Montserrat",4,6,Active,Remote,1099041
1243,EMP0001244,Joshua Walters,IT,Software Engineer,2019-11-17,"Williamsport, Cote d'Ivoire",5,5,Retired,On-site,672784
1244,EMP0001245,Joel Long,Marketing,Marketing Executive,2018-09-28,"Port Stephen, New Zealand",4,6,Active,Remote,814542
1245,EMP0001246,Brianna Hubbard,Finance,Financial Analyst,2017-10-12,"Rojasberg, Cape Verde",2,7,Active,Remote,1369314
1246,EMP0001247,Jane Sullivan,Marketing,Marketing Executive,2016-02-09,"West Margaret, Heard Island and McDonald Islands",2,9,Terminated,On-site,596648
1247,EMP0001248,Christine Miller,IT,Software Engineer,2023-01-10,"Gonzalezhaven, Brunei Darussalam",5,2,Active,On-site,955629
1248,EMP0001249,Jermaine Lee,IT,Software Engineer,2023-01-08,"Gomezfurt, Turkey",3,2,Retired,Remote,1714622
1249,EMP0001250,Luke Cole,IT,Data Analyst,2022-06-05,"South Morgan, Madagascar",4,3,Active,Remote,1086645
1250,EMP0001251,Joseph Douglas,Finance,Financial Analyst,2018-01-14,"Donaldsonfort, Djibouti",5,7,Active,On-site,762887
1251,EMP0001252,George Banks,IT,Data Analyst,2021-09-16,"Smithmouth, Lao People's Democratic Republic",1,3,Active,On-site,912769
1252,EMP0001253,Catherine Ferguson,IT,Software Engineer,2021-08-31,"Strongmouth, Reunion",4,3,Active,On-site,806291
1253,EMP0001254,Nicholas Meyer,Marketing,Marketing Executive,2015-11-29,"Dennisside, Timor-Leste",5,9,Resigned,On-site,541144
1254,EMP0001255,Kara Perez,Marketing,SEO Specialist,2019-02-26,"South Annettebury, Guyana",3,6,Active,On-site,815139
1255,EMP0001256,Megan Castro,Finance,Finance Manager,2025-02-05,"Jacobton, Gambia",4,0,Active,On-site,1139936
1256,EMP0001257,Lori Smith MD,Operations,Operations Executive,2024-01-31,"Russellbury, Paraguay",4,1,Active,Remote,572723
1257,EMP0001258,Harold Mcintosh,Operations,Logistics Coordinator,2018-12-04,"Lake Jeannemouth, Madagascar",5,6,Active,Remote,520646
1258,EMP0001259,Jay Atkins,Sales,Account Manager,2022-08-20,"Patrickview, South Africa",1,2,Resigned,On-site,454473
1259,EMP0001260,Brittany Martin,R&D,Product Developer,2018-08-29,"Shawnshire, Turkmenistan",4,6,Active,On-site,590375
1260,EMP0001261,Matthew Vargas,IT,Software Engineer,2016-09-14,"Dustinburgh, Finland",4,8,Active,Remote,1250494
1261,EMP0001262,Brian Anderson,HR,HR Executive,2018-01-09,"Kristenside, El Salvador",4,7,Active,On-site,715923
1262,EMP0001263,David Morris,IT,DevOps Engineer,2016-02-27,"Garrettland, Malawi",5,9,Active,Remote,1175086
1263,EMP0001264,Lisa Beck,Sales,Account Manager,2014-09-30,"Figueroachester, Algeria",3,10,Retired,On-site,573547
1264,EMP0001265,Patricia Baker,IT,Software Engineer,2016-12-01,"West Mallory, Palau",5,8,Resigned,On-site,658820
